Numéro de run,nom du fichier,Date,Heure de départ,Ferme,MiteMap,Sachet,Modalité
15,MM092022_03_14_13h17m15s,14/03/2022,13h00,POUL6_D1,MM09,3,G
16,MM012020_10_21_10h30m07s,14/03/2022,13h30,POUL6_D1,MM01,4,NM
16,MM022020_10_21_13h27m44s,14/03/2022,13h30,POUL6_D1,MM02,4,G
16,MM032020_10_21_09h28m57s (1),14/03/2022,13h30,POUL6_D1,MM03,4,T
16,MM042022_03_14_13h49m38s,14/03/2022,13h30,POUL6_D1,MM04,5,NM
16,MM052022_03_14_13h50m02s,14/03/2022,13h30,POUL6_D1,MM06,5,G
16,MM062022_03_14_14h11m43s,14/03/2022,13h30,POUL6_D1,MM05,5,T
16,MM072022_03_14_13h49m12s,14/03/2022,13h30,POUL6_D1,MM07,6,NM
16,MM082021_07_05_01h28m38s,14/03/2022,13h30,POUL6_D1,MM08,6,G
16,MM092022_03_14_13h49m03s,14/03/2022,13h30,POUL6_D1,MM09,6,T
17,MM012020_10_21_11h29m10s,14/03/2022,15h10,POUL6_D1,MM01,1,G
17,MM022020_10_21_13h29m09s,14/03/2022,15h10,POUL6_D1,MM02,1,T
17,MM032020_10_21_10h29m35s,14/03/2022,15h10,POUL6_D1,MM03,1,NM
17,MM042022_03_14_15h27m35s,14/03/2022,15h10,POUL6_D1,MM04,2,G
17,MM052022_03_14_15h27m37s,14/03/2022,15h10,POUL6_D1,MM06,2,T
17,MM062022_03_14_15h27m13s,14/03/2022,15h10,POUL6_D1,MM05,2,NM
17,MM072022_03_14_15h27m15s,14/03/2022,15h10,POUL6_D1,MM07,3,G
17,MM082021_07_05_02h28m53s,14/03/2022,15h10,POUL6_D1,MM08,3,T
17,MM092022_03_14_15h27m09s,14/03/2022,15h10,POUL6_D1,MM09,3,NM
18,MM012020_10_21_11h31m33s,14/03/2022,15h45,POUL6_D1,MM01,4,T
18,MM022020_10_21_13h29m29s (2),14/03/2022,15h45,POUL6_D1,MM02,4,NM
18,MM032020_10_21_10h29m43s,14/03/2022,15h45,POUL6_D1,MM03,4,G
18,MM042022_03_14_16h00m36s,14/03/2022,15h45,POUL6_D1,MM04,5,T
18,MM052022_03_14_15h59m59s,14/03/2022,15h45,POUL6_D1,MM06,5,NM
18,MM062022_03_14_15h59m53s,14/03/2022,15h45,POUL6_D1,MM05,5,G
18,MM072022_03_14_15h59m48s,14/03/2022,15h45,POUL6_D1,MM07,6,T
18,MM082021_07_05_02h29m11s,14/03/2022,15h45,POUL6_D1,MM08,6,NM
18,MM092022_03_14_15h59m39s,14/03/2022,15h45,POUL6_D1,MM09,6,G
19,MM012020_10_21_11h29m43s,18/03/22,10h30,POUL6_D1,MM01,1,NM
19,MM022020_10_21_13h29m27s,18/03/22,10h30,POUL6_D1,MM02,1,G
19,MM032020_10_21_10h30m10s,18/03/22,10h30,POUL6_D1,MM03,1,T
19,MM042022_03_18_10h41m05s,18/03/22,10h30,POUL6_D1,MM04,2,NM
19,MM052022_03_18_10h41m06s,18/03/22,10h30,POUL6_D1,MM06,2,G
19,MM062022_03_18_10h41m05s,18/03/22,10h30,POUL6_D1,MM05,2,T
19,MM072022_03_18_11h05m29s,18/03/22,10h30,POUL6_D1,MM07,3,NM
19,MM082021_07_05_02h29m01s,18/03/22,10h30,POUL6_D1,MM08,3,G
19,MM092022_03_18_10h41m05s,18/03/22,10h30,POUL6_D1,MM09,3,T
20,MM012020_10_21_11h29m49s,19/03/22,11h10,POUL6_D1,MM01,4,G
20,MM022020_10_21_13h29m47s,19/03/22,11h10,POUL6_D1,MM02,4,T
20,MM032020_10_21_10h29m23s,19/03/22,11h10,POUL6_D1,MM03,4,NM
20,MM042022_03_18_11h29m59s,19/03/22,11h10,POUL6_D1,MM04,5,G
20,MM052022_03_18_11h34m21s,19/03/22,11h10,POUL6_D1,MM06,5,T
20,MM062022_03_18_11h30m58s,19/03/22,11h10,POUL6_D1,MM05,5,NM
20,MM072022_03_18_11h32m28s,19/03/22,11h10,POUL6_D1,MM07,6,G
20,MM082021_07_05_02h28m43s,19/03/22,11h10,POUL6_D1,MM08,6,T
20,MM092022_03_18_11h25m33s,19/03/22,11h10,POUL6_D1,MM09,6,NM
21,MM012020_10_21_11h27m44s,19/03/22,11h45,POUL6_D1,MM01,1,T
21,MM022020_10_21_13h29m49s,19/03/22,11h45,POUL6_D1,MM02,1,NM
21,MM032020_10_21_10h29m00s,19/03/22,11h45,POUL6_D1,MM03,1,G
21,MM042022_03_18_12h13m27s,19/03/22,11h45,POUL6_D1,MM04,2,T
21,MM052022_03_18_12h12m57s,19/03/22,11h45,POUL6_D1,MM06,2,NM
21,MM062022_03_18_12h13m07s,19/03/22,11h45,POUL6_D1,MM05,2,G
21,MM072022_03_18_12h12m59s,19/03/22,11h45,POUL6_D1,MM07,3,T
21,MM082021_07_05_02h28m35s,19/03/22,11h45,POUL6_D1,MM08,3,NM
21,MM092022_03_18_12h12m41s,19/03/22,11h45,POUL6_D1,MM09,3,G
